battle_turn,opponent_pokemon,opponent_type,move_used,move_type,move_category,weather_condition,pikachu_status,terrain_type,held_item,pikachu_ability,opponent_level,pikachu_level,move_power,attack_stat,defense_stat,sp_attack_stat,sp_defense_stat,speed_stat_pikachu,speed_stat_opponent,attack_stage,defense_stage,speed_stage,type_effectiveness,critical_hit,move_hit,friendship_level,experience_points,healing_applied,damage_dealt,previous_hp,max_hp,pikachu_hp,round,turn,trainer_focus_score
Round 2 - Turn 00:00,Alakazam,Psychic,Thunder,Electric,Special,Clear,Paralyzed,,Sitrus Berry,Static,42,38,110,43,50,43,54,77,89,0,-1,0,1,0,1,115,1464,0,60,74,74,36,2,0,60.9
Round 2 - Turn 01:00,Steelix,Steel,Iron Tail,,Physical,Clear,,,Light Ball,Static,40,38,100,46,41,38,46,68,110,,-1,0,1,0,1,226,1648,0,50,12,74,26,2,1,37.4
Round 2 - Turn 02:00,Alakazam,Psychic,Iron Tail,Electric,Physical,Sandstorm,,Electric Terrain,Focus Sash,Lightning Rod,40,38,100,50,45,40,58,72,91,2,2,0,1,0,1,129,143,0,70,74,74,17,2,2,35.1
Round 2 - Turn 03:00,Blastoise,Water,Agility,Electric,Status,Electric Terrain,,,,Lightning Rod,39,38,0,42,49,40,45,76,95,0,0,-1,1,0,1,115,1004,0,0,6,74,33,2,3,51.4
Round 2 - Turn 04:00,Gengar,Ghost,Thunderbolt,Electric,Special,Hail,Paralyzed,Misty Terrain,,Static,43,38,90,47,48,40,44,77,75,1,-1,-1,1,0,1,73,1878,0,90,6,74,0,2,4,14.6
Round 2 - Turn 05:00,Alakazam,Psychic,Volt Tackle,Electric,Physical,Hail,Paralyzed,Grassy Terrain,Assault Vest,Static,30,38,120,53,27,51,48,69,82,-2,1,-1,1,0,1,175,3492,0,40,74,74,67,2,5,88.2
Round 2 - Turn 06:00,Charizard,Fire,Volt Tackle,Electric,Physical,Clear,Paralyzed,,Light Ball,Static,41,38,120,,49,41,43,77,78,2,-2,-1,,0,1,141,3293,0,235,36,74,0,2,6,18.9
Round 2 - Turn 07:00,Lapras,Water,Thunder,Electric,Special,Clear,Burned,Grassy Terrain,Focus Sash,Static,48,38,110,47,41,45,66,79,73,0,0,0,2,0,1,96,196,0,80,74,74,30,2,7,44.4
Round 2 - Turn 08:00,Gengar,Ghost,,Electric,Special,Rain,,,Sitrus Berry,Static,31,38,80,55,35,43,33,77,79,0,0,0,1,0,1,182,2833,0,55,74,74,24,2,8,41.9
Round 2 - Turn 09:00,Charizard,Fire,Volt Tackle,Electric,Physical,Clear,,,,,35,38,120,49,31,50,47,72,,0,0,-2,1,0,1,94,5140,0,100,18,74,54,2,9,61.2
Round 2 - Turn 10:00,Venusaur,Grass,Electro Ball,Electric,Special,Rain,Paralyzed,Grassy Terrain,Assault Vest,Static,36,38,80,50,47,39,45,71,32,2,,0,0.5,0,1,172,2829,0,35,74,74,26,2,10,40.3
Round 2 - Turn 11:00,Gengar,Ghost,Quick Attack,Electric,Physical,Clear,,Misty Terrain,Assault Vest,Lightning Rod,41,38,40,54,42,39,43,74,83,0,0,0,1,0,1,103,314,,25,39,74,21,2,11,26.4
Round 2 - Turn 12:00,Charizard,Fire,Electro Ball,Electric,Special,Clear,,,,Static,41,38,80,,49,50,44,73,48,1,-1,0,1,0,1,50,2185,0,95,12,74,41,2,12,57.3
Round 2 - Turn 13:00,Alakazam,Psychic,Thunder,Electric,Special,Clear,,,,Static,41,38,110,41,43,45,52,79,,0,1,1,1,,1,155,677,0,35,74,74,62,2,13,74.9
Round 2 - Turn 14:00,Charizard,Fire,Quick Attack,Electric,Physical,Clear,,Electric Terrain,Light Ball,Lightning Rod,50,38,40,47,42,45,63,68,81,0,-2,0,1,0,1,133,2293,0,55,41,74,0,2,14,15
Round 2 - Turn 15:00,Charizard,Fire,Thunder,Electric,Special,Electric Terrain,Paralyzed,,Light Ball,Static,42,38,110,55,45,47,60,79,72,0,0,0,1,0,1,149,4258,0,45,74,74,38,2,15,51.1
Round 2 - Turn 16:00,Blastoise,Water,Quick Attack,Electric,Physical,Clear,,,Light Ball,Static,35,38,40,49,42,48,50,82,,0,1,-1,2,0,1,117,2997,0,35,29,74,18,2,16,30.1
Round 2 - Turn 17:00,Alakazam,Psychic,Agility,Electric,Status,Hail,Paralyzed,,Assault Vest,Static,40,38,0,52,32,48,40,80,88,0,0,0,1,0,1,196,1067,0,0,74,74,74,2,17,95.6
Round 2 - Turn 18:00,Gengar,Ghost,Thunderbolt,Electric,Special,Rain,Paralyzed,,Sitrus Berry,Static,32,38,90,55,25,,38,73,40,0,0,-1,1,0,0,216,3610,0,0,74,74,74,2,18,92.7
Round 2 - Turn 19:00,Onix,Rock,,Electric,Physical,Clear,,,Assault Vest,Static,38,38,120,45,37,48,48,68,92,0,0,-2,0.5,1,1,126,3137,,55,74,74,47,2,19,66.8
Round 2 - Turn 20:00,Onix,Rock,Thunderbolt,Electric,Special,Sun,,Electric Terrain,Light Ball,Static,38,38,90,41,45,38,57,73,82,0,-1,1,0.5,0,1,126,4374,0,25,18,74,5,2,20,13.6
Round 2 - Turn 21:00,Charizard,Fire,Thunderbolt,Electric,Special,Rain,,,,Static,35,38,90,54,40,39,40,82,89,0,0,0,1,0,0,150,2970,0,0,74,74,74,2,21,92.4
Round 2 - Turn 22:00,Alakazam,Psychic,Thunderbolt,Electric,Special,Sun,,Grassy Terrain,,Static,39,38,90,41,34,44,46,72,53,2,1,1,1,0,1,103,3740,0,60,74,74,31,2,22,52.5
Round 2 - Turn 23:00,Alakazam,Psychic,Electro Ball,Electric,Special,Electric Terrain,,,Assault Vest,Static,30,38,80,50,29,42,35,68,44,,0,,,0,0,108,5981,0,0,14,74,12,2,23,29.2
Round 3 - Turn 00:00,Blastoise,Water,Agility,Electric,Status,,Paralyzed,,Light Ball,Static,30,36,0,41,29,42,37,70,69,1,0,1,1,0,1,138,4780,0,0,71,71,63,3,0,85
Round 3 - Turn 01:00,Machamp,Fighting,Electro Ball,Electric,Special,Clear,,,Light Ball,Static,45,36,80,40,42,48,51,73,102,0,0,1,1,0,1,211,0,0,35,71,71,56,3,1,71.2
Round 3 - Turn 02:00,Rhydon,Rock,Quick Attack,Electric,Physical,Hail,,,,Static,43,36,40,51,43,48,61,69,33,,1,1,0.5,0,0,117,1704,0,0,34,71,37,3,2,49.6
Round 3 - Turn 03:00,Blastoise,Water,Thunderbolt,Electric,Special,Clear,,,Sitrus Berry,Static,35,36,90,53,46,47,46,71,71,,0,0,2,0,1,148,2094,0,80,34,71,0,3,3,11.3
Round 3 - Turn 04:00,Blastoise,Water,,Electric,Physical,Sun,Paralyzed,Grassy Terrain,,Static,38,36,40,51,31,,45,73,101,0,2,-1,2,0,1,160,4087,0,35,71,71,28,3,4,40.7
Round 3 - Turn 05:00,Machamp,Fighting,Thunder,Electric,Special,Electric Terrain,,,Focus Sash,,35,36,110,49,38,36,36,68,32,0,0,0,1,0,1,217,3373,0,55,34,71,0,3,5,10.7
Round 3 - Turn 06:00,Gengar,Ghost,Agility,Electric,Status,Rain,,Electric Terrain,,Lightning Rod,32,36,0,49,32,48,39,67,66,-2,0,0,1,0,,169,2374,0,0,71,71,71,3,6,91.5
Round 3 - Turn 07:00,Lapras,Water,Nuzzle,Normal,Physical,Electric Terrain,,,,Static,43,36,20,46,44,48,50,69,85,0,2,-1,2,0,1,154,3000,0,10,71,71,71,3,7,92.5
Round 3 - Turn 08:00,Machamp,Fighting,Volt Tackle,Electric,Physical,Rain,,Electric Terrain,,Static,25,36,120,39,33,47,44,73,50,1,0,0,1,0,1,180,,0,135,61,71,67,3,8,91.4
Round 3 - Turn 09:00,Charizard,Fire,Nuzzle,Normal,Physical,Clear,,Misty Terrain,,Static,38,36,,46,45,39,55,69,60,0,0,-1,1,0,1,110,3758,0,10,71,71,71,3,9,89
Round 3 - Turn 10:00,,Fire,Iron Tail,Electric,Physical,Electric Terrain,Burned,,Sitrus Berry,Lightning Rod,33,36,100,45,35,46,44,76,86,0,1,0,1,0,1,161,1590,0,20,63,71,71,3,10,90.5
Round 3 - Turn 11:00,Alakazam,Psychic,Thunder,Electric,Special,Sandstorm,,Electric Terrain,Sitrus Berry,Static,43,36,110,44,35,48,54,65,70,0,0,1,1,0,1,244,2042,0,65,44,71,29,3,11,39.6
Round 3 - Turn 12:00,Blastoise,Water,Volt Tackle,Electric,Physical,Sandstorm,,Grassy Terrain,,Static,35,36,120,52,47,40,45,73,68,0,2,-1,2,0,1,193,1423,0,60,71,71,57,3,12,79.1
Round 3 - Turn 13:00,Dragonite,Dragon,Electro Ball,Electric,Special,Clear,,Grassy Terrain,Sitrus Berry,Static,33,,80,43,38,37,50,65,58,0,0,-1,0.5,0,0,209,2823,0,0,11,71,30,3,13,54.4
Round 3 - Turn 14:00,Rhydon,Rock,Thunderbolt,Electric,,Electric Terrain,,,Light Ball,Static,33,36,90,45,36,46,33,70,65,0,1,0,0.5,0,1,249,1774,0,20,11,71,26,3,14,45.9
Round 3 - Turn 15:00,Lapras,Water,Agility,Electric,Status,Sandstorm,,,Assault Vest,Static,,36,0,51,25,50,43,69,86,0,0,1,1,0,1,161,1803,0,0,71,71,71,3,15,85.9
Round 3 - Turn 16:00,Machamp,Fighting,Nuzzle,Normal,Physical,Sandstorm,,,Sitrus Berry,Static,37,36,,53,29,45,,76,120,0,1,0,1,0,1,145,1166,,10,71,71,46,3,16,55.4
Round 3 - Turn 17:00,Vaporeon,Water,Thunder,Electric,Special,Sun,,Electric Terrain,Sitrus Berry,Static,43,36,110,44,44,38,54,66,80,0,0,-2,2,0,1,172,,0,95,62,71,0,3,17,29.4
Round 3 - Turn 18:00,Lapras,Water,Thunderbolt,Electric,Special,Clear,,Misty Terrain,,,34,36,90,49,46,36,51,72,71,1,1,0,2,0,1,104,1673,0,60,71,71,1,3,18,20.3
Round 3 - Turn 19:00,Blastoise,Water,Thunderbolt,Electric,Special,Hail,,,Sitrus Berry,Static,33,36,90,49,33,43,44,66,78,0,0,0,2,0,1,120,1237,,80,,71,0,3,19,15.2
Round 3 - Turn 20:00,Charizard,Fire,Electro Ball,Electric,Special,Sun,,,Light Ball,Static,33,36,,42,43,47,40,73,83,0,0,0,1,0,1,81,822,0,50,71,71,27,3,20,50.6
Round 3 - Turn 21:00,Dragonite,Dragon,Volt Tackle,Electric,Physical,Clear,Paralyzed,,Sitrus Berry,Static,36,36,120,,38,47,38,,83,0,0,0,0.5,1,1,217,58,0,50,23,71,0,3,21,14
Round 3 - Turn 22:00,Charizard,Fire,Thunderbolt,Electric,Special,Clear,Paralyzed,Grassy Terrain,Light Ball,Static,33,36,90,44,43,45,41,64,41,0,0,,1,0,1,135,1319,0,45,71,71,54,3,22,75.7
Round 3 - Turn 23:00,Lapras,Water,Thunderbolt,Electric,Special,Sandstorm,,,,Static,33,36,90,52,39,47,38,76,102,-2,-1,0,2,0,1,77,2380,0,80,24,71,0,3,23,9.9
Round 4 - Turn 00:00,Dragonite,Dragon,Volt Tackle,Electric,Physical,Hail,,,Assault Vest,,36,32,120,38,42,36,49,67,23,0,-2,0,0.5,0,1,201,2403,0,50,20,64,8,4,0,23.5
Round 4 - Turn 01:00,Venusaur,Grass,Electro Ball,Electric,Special,Sun,,,Focus Sash,Static,38,32,80,41,42,34,56,66,99,0,0,0,0.5,0,1,58,2587,0,10,,64,41,4,1,67
Round 4 - Turn 02:00,Blastoise,Water,Iron Tail,Electric,Physical,Clear,Paralyzed,,Focus Sash,Static,27,,100,48,24,35,35,59,55,0,0,0,,0,1,32,1309,0,170,53,64,0,4,2,13.5
Round 4 - Turn 03:00,Dragonite,Dragon,Nuzzle,Normal,Physical,Sandstorm,Paralyzed,Misty Terrain,Focus Sash,Static,34,32,20,41,45,41,47,59,65,0,1,-1,0.5,0,1,152,4588,0,0,64,64,63,4,3,92.6
Round 4 - Turn 04:00,Dragonite,Dragon,Volt Tackle,Electric,Physical,Clear,,,,Static,22,32,120,35,36,34,37,69,53,0,0,-1,0.5,0,0,161,1332,0,0,62,64,43,4,4,58.6
Round 4 - Turn 05:00,Vaporeon,Water,Agility,Electric,Status,Hail,,Misty Terrain,,Static,27,32,0,40,27,42,38,61,80,1,,0,1,0,1,107,1565,0,0,62,64,64,4,5,100
Round 4 - Turn 06:00,Machamp,Fighting,Quick Attack,Electric,Physical,Hail,Paralyzed,,Sitrus Berry,Static,22,32,40,42,30,33,36,65,56,0,0,0,1,1,1,141,3336,0,35,62,64,52,4,6,83.2
Round 4 - Turn 07:00,Lapras,Water,Quick Attack,Electric,Physical,Clear,,,,Lightning Rod,26,32,40,49,29,37,31,61,53,1,0,-1,2,0,1,164,2647,0,90,,64,0,4,7,5.4
Round 4 - Turn 08:00,Rhydon,Rock,Iron Tail,Electric,Physical,Rain,,Misty Terrain,Assault Vest,Static,36,32,100,45,33,42,41,57,39,0,1,1,0.5,0,1,78,2375,22,20,64,64,64,4,8,91
Round 4 - Turn 09:00,Dragonite,Dragon,Volt Tackle,Electric,Physical,Clear,Paralyzed,,,Lightning Rod,31,32,120,36,37,44,45,65,48,0,0,1,0.5,0,1,47,1212,0,25,64,64,64,4,9,85.5
Round 4 - Turn 10:00,Steelix,Steel,Quick Attack,Electric,Physical,Clear,,,,Static,34,32,40,49,30,42,37,68,51,0,1,0,1,0,1,155,1548,0,20,40,64,49,4,10,84
Round 4 - Turn 11:00,Onix,Rock,Nuzzle,Normal,Physical,Clear,,,Sitrus Berry,Static,33,32,20,46,32,36,40,66,80,0,0,2,0.5,0,,191,2050,0,5,20,64,34,4,11,66.1
Round 4 - Turn 12:00,Skarmory,Steel,Thunderbolt,Electric,Special,Sun,Burned,Electric Terrain,Light Ball,Lightning Rod,32,32,90,38,26,45,36,57,36,0,0,0,1,0,1,119,2509,0,65,15,64,0,4,12,16
Round 4 - Turn 13:00,Vaporeon,Water,Volt Tackle,Electric,Physical,Rain,,Grassy Terrain,Light Ball,Static,34,32,120,41,37,39,52,57,36,0,0,0,2,1,1,111,2901,23,175,64,64,37,4,13,61
Round 4 - Turn 14:00,Blastoise,Water,Thunderbolt,Electric,Special,Rain,,,,Static,35,32,90,49,41,33,53,62,81,1,2,0,2,0,1,122,,0,40,64,64,35,4,14,63.1
Round 4 - Turn 15:00,Golem,Rock,Electro Ball,Electric,Special,Clear,,Electric Terrain,,Static,33,32,80,47,38,41,47,59,,0,0,-1,0.5,0,1,137,587,0,20,24,64,8,4,15,29.9
Round 4 - Turn 16:00,Skarmory,Steel,Iron Tail,Electric,Physical,,,,Sitrus Berry,Static,26,32,100,49,30,42,31,58,65,0,-1,1,1,0,1,150,2284,0,100,5,64,18,4,16,46.5
Round 4 - Turn 17:00,Alakazam,Psychic,Iron Tail,Electric,Physical,Sun,,Misty Terrain,Assault Vest,Static,33,32,100,46,37,39,,70,73,0,0,0,1,,,130,3255,0,50,64,64,7,4,17,31.3
Round 4 - Turn 18:00,Rhydon,Rock,Thunderbolt,Electric,Special,Clear,,,Light Ball,Static,30,32,90,49,29,38,,68,79,-2,0,0,0.5,0,0,,2911,0,0,13,64,0,4,18,18.3
Round 4 - Turn 19:00,Blastoise,Water,Quick Attack,,Physical,Clear,,Electric Terrain,Assault Vest,Static,25,32,40,36,27,33,30,70,70,0,0,-1,2,0,1,208,1802,0,60,13,,1,4,19,16.1
Round 4 - Turn 20:00,Dragonite,Dragon,Quick Attack,Electric,Physical,Sun,,,Focus Sash,Static,23,32,40,38,34,43,39,60,61,0,1,1,0.5,0,1,158,1552,0,5,64,64,27,4,20,45.8
Round 4 - Turn 21:00,Lapras,Water,Quick Attack,Electric,Physical,Hail,,,Light Ball,Static,27,32,40,40,27,34,34,71,92,0,0,1,2,0,1,109,3112,0,55,57,,0,4,21,19.8
Round 4 - Turn 22:00,Rhydon,Rock,Quick Attack,Electric,Physical,Clear,,,Assault Vest,Static,39,32,40,44,46,38,46,59,58,1,-1,0,0.5,0,1,195,1336,0,20,64,64,9,4,22,22.9
Round 4 - Turn 23:00,Onix,Rock,Thunder,Electric,Special,Sun,,,Sitrus Berry,Static,31,32,110,48,34,39,44,67,59,0,-1,-1,0.5,0,1,186,1147,0,30,45,64,0,4,23,16.2
Round 5 - Turn 00:00,Charizard,Fire,Thunder,Electric,Special,Clear,,Electric Terrain,Focus Sash,Static,17,32,110,36,26,46,26,68,75,0,0,0,1,0,1,124,3166,0,110,53,,52,5,0,74.2
Round 5 - Turn 01:00,Gengar,Ghost,Iron Tail,Electric,Physical,Rain,Burned,,Light Ball,Static,38,32,100,40,41,40,43,58,46,-1,0,0,1,0,1,104,2530,0,15,64,64,64,5,1,86.2
Round 5 - Turn 02:00,Charizard,Fire,Thunderbolt,Electric,Special,Rain,Paralyzed,Electric Terrain,Sitrus Berry,Static,22,32,,47,21,41,24,61,63,0,-1,0,1,0,1,189,1496,0,120,49,64,15,5,2,35.3
Round 5 - Turn 03:00,Vaporeon,Water,Thunder,Electric,Special,Sun,Burned,Electric Terrain,Sitrus Berry,Static,36,32,110,46,33,42,48,70,63,0,1,0,2,0,1,255,1513,0,75,64,,0,5,3,20.5
Round 5 - Turn 04:00,Snorlax,Normal,Electro Ball,Electric,Special,Rain,,,,Lightning Rod,37,32,80,39,32,45,39,66,79,1,0,-2,1,0,1,136,3229,0,55,64,64,5,5,4,15.2
Round 5 - Turn 05:00,,Water,Thunder,Electric,Special,Sandstorm,,,,Lightning Rod,28,32,110,46,,45,31,63,46,0,0,0,2,0,1,112,447,0,145,7,64,2,5,5,12.9
Round 5 - Turn 06:00,Vaporeon,Water,Thunderbolt,Electric,Special,Clear,,,Sitrus Berry,Static,34,32,90,46,45,40,48,62,64,-1,0,-1,2,0,1,94,4090,0,45,64,64,50,5,6,79.8
Round 5 - Turn 07:00,Charizard,Fire,Agility,Electric,,Clear,,Grassy Terrain,,Static,35,32,0,,44,44,45,70,50,0,-1,,1,0,1,132,1634,0,0,20,64,48,5,7,72.6
Round 5 - Turn 08:00,Lapras,Water,Electro Ball,Electric,Special,Clear,Paralyzed,,,Static,42,32,80,49,42,40,56,57,84,0,-1,2,2,0,1,93,1171,18,80,20,64,33,5,8,57.3
Round 5 - Turn 09:00,Charizard,Fire,Quick Attack,Electric,Physical,Sandstorm,,,Focus Sash,Static,30,32,40,37,33,44,31,61,65,0,0,0,1,0,0,48,2627,0,0,64,64,64,5,9,96.8
Round 5 - Turn 10:00,Snorlax,Normal,Agility,Electric,Status,Electric Terrain,Paralyzed,,Sitrus Berry,Lightning Rod,23,32,0,35,27,46,32,62,86,-1,1,1,1,0,1,129,2736,0,0,64,64,64,5,10,100
Round 5 - Turn 11:00,Dragonite,Dragon,Quick Attack,Electric,,Clear,,,Focus Sash,Static,25,32,40,47,24,36,35,59,60,0,0,0,0.5,0,1,122,6000,0,15,64,64,64,5,11,100
Round 5 - Turn 12:00,Dragonite,Dragon,Electro Ball,Electric,Special,Clear,Burned,,,Static,34,32,80,48,28,38,41,59,57,-1,0,-1,0.5,0,1,144,2599,0,10,47,64,60,5,12,96.6
Round 5 - Turn 13:00,Dragonite,Dragon,Quick Attack,Electric,Physical,Sun,,,Light Ball,Static,32,32,40,40,38,39,42,65,79,-2,0,-1,0.5,0,1,72,3529,0,5,37,64,49,5,13,82.5
Round 5 - Turn 14:00,Charizard,Fire,Thunder,Electric,Special,Clear,,Grassy Terrain,,Static,33,32,110,35,33,33,40,71,82,1,0,0,1,0,1,94,2857,0,65,31,64,37,5,14,63.7
Round 5 - Turn 15:00,Gyarados,Water,Iron Tail,Electric,Physical,Hail,,,Sitrus Berry,Static,33,32,100,43,38,35,36,69,97,0,0,-1,2,0,1,110,4255,0,95,64,64,19,5,15,44.4
Round 5 - Turn 16:00,,Rock,Thunderbolt,Electric,Special,Rain,,Grassy Terrain,Assault Vest,Static,34,32,90,41,31,33,48,61,80,0,0,0,0.5,1,1,155,3947,0,20,64,64,64,5,16,100
Round 5 - Turn 17:00,Rhydon,Rock,Nuzzle,Normal,Physical,Sun,,,,Static,26,32,20,47,20,39,33,63,84,0,-1,2,0.5,1,1,117,1501,0,15,45,64,55,5,17,71.9
Round 5 - Turn 18:00,Steelix,Steel,Electro Ball,Electric,Special,Sun,,,,Static,29,32,80,37,25,35,40,59,57,0,0,1,1,0,0,229,1549,0,0,29,64,57,5,18,89.2
Round 5 - Turn 19:00,Blastoise,Water,Nuzzle,Normal,Physical,Clear,,,,Static,31,32,,35,43,42,46,66,76,-1,-2,0,2,0,1,116,2466,0,15,29,64,36,5,19,69.1
Round 5 - Turn 20:00,Venusaur,Grass,Thunderbolt,Electric,Special,Sandstorm,,,Focus Sash,Lightning Rod,32,32,90,49,36,43,38,59,67,1,0,0,0.5,0,0,53,3949,0,0,14,64,22,5,20,44.9
Round 5 - Turn 21:00,Charizard,Fire,Electro Ball,Electric,Special,Clear,,,Light Ball,Static,35,32,80,37,30,35,39,63,37,0,0,0,1,0,1,176,,0,35,,64,33,5,21,51.6
Round 5 - Turn 22:00,Snorlax,Normal,,Electric,Special,Clear,,,Assault Vest,Static,27,32,,48,28,43,27,71,35,0,0,1,1,0,1,107,4201,0,75,64,64,14,5,22,37.9
Round 5 - Turn 23:00,Blastoise,Water,Iron Tail,Electric,Physical,Clear,,,,Static,23,,100,49,35,43,23,59,,-1,0,0,2,0,1,86,3584,0,80,64,,7,5,23,16.6
Round 6 - Turn 00:00,Lapras,Water,Agility,Electric,Status,Rain,,Electric Terrain,Assault Vest,Static,40,40,0,52,51,44,48,79,105,0,0,1,1,0,1,112,1685,0,0,78,78,63,6,0,80.6
Round 6 - Turn 01:00,,Psychic,Iron Tail,Electric,Physical,Hail,Paralyzed,Misty Terrain,Light Ball,Static,38,40,100,44,30,47,39,72,75,0,-2,0,1,0,1,153,4353,0,140,78,78,0,6,1,18.3
Round 6 - Turn 02:00,Alakazam,Psychic,Volt Tackle,Electric,Physical,Sandstorm,,,Assault Vest,Static,35,40,120,52,44,43,39,82,91,0,0,0,1,0,1,193,2600,0,80,78,78,0,6,2,27.5
